from_stop_id,to_stop_id,transfer_type,min_transfer_time
RIVPOSEN,RIVPOSEN,2,60
RIVPOSEN,PZ1,2,60
RIVPOSEN,PZ2,2,60
RIVPOSEN,PZ3,2,60
RIVPOSEN,PZ4,2,60
RIVPOSEN,PZ5,2,60
RIVPOSEN,PZ6,2,60
RIVPOSEN,PZ7,2,60
RIVPOSEN,PZ8,2,60
RIVPOSEN,PZ9,2,60
RIVPOSEN,PZ10,2,60
RIVPOSEN,BOA,2,60
RIVPOSEN,PZWALLS,2,60
RIVPOSEN,PZWALLN,2,60
PZ1,PZ1,2,60
PZ1,RIVPOSEN,2,60
PZ1,PZ2,2,60
PZ1,PZ3,2,60
PZ1,PZ4,2,60
PZ1,PZ5,2,60
PZ1,PZ6,2,60
PZ1,PZ7,2,60
PZ1,PZ8,2,60
PZ1,PZ9,2,60
PZ1,PZ10,2,60
PZ1,BOA,2,60
PZ1,PZWALLS,2,60
PZ1,PZWALLN,2,60
PZ2,PZ1,2,60
PZ2,RIVPOSEN,2,60
PZ2,PZ2,2,60
PZ2,PZ3,2,60
PZ2,PZ4,2,60
PZ2,PZ5,2,60
PZ2,PZ6,2,60
PZ2,PZ7,2,60
PZ2,PZ8,2,60
PZ2,PZ9,2,60
PZ2,PZ10,2,60
PZ2,BOA,2,60
PZ2,PZWALLS,2,60
PZ2,PZWALLN,2,60
PZ3,PZ1,2,60
PZ3,RIVPOSEN,2,60
PZ3,PZ2,2,60
PZ3,PZ3,2,60
PZ3,PZ4,2,60
PZ3,PZ5,2,60
PZ3,PZ6,2,60
PZ3,PZ7,2,60
PZ3,PZ8,2,60
PZ3,PZ9,2,60
PZ3,PZ10,2,60
PZ3,BOA,2,60
PZ3,PZWALLS,2,60
PZ3,PZWALLN,2,60
PZ4,PZ1,2,60
PZ4,RIVPOSEN,2,60
PZ4,PZ2,2,60
PZ4,PZ3,2,60
PZ4,PZ4,2,60
PZ4,PZ5,2,60
PZ4,PZ6,2,60
PZ4,PZ7,2,60
PZ4,PZ8,2,60
PZ4,PZ9,2,60
PZ4,PZ10,2,60
PZ4,BOA,2,60
PZ4,PZWALLS,2,60
PZ4,PZWALLN,2,60
PZ5,PZ1,2,60
PZ5,RIVPOSEN,2,60
PZ5,PZ2,2,60
PZ5,PZ3,2,60
PZ5,PZ4,2,60
PZ5,PZ5,2,60
PZ5,PZ6,2,60
PZ5,PZ7,2,60
PZ5,PZ8,2,60
PZ5,PZ9,2,60
PZ5,PZ10,2,60
PZ5,BOA,2,60
PZ5,PZWALLS,2,60
PZ5,PZWALLN,2,60
PZ6,PZ1,2,60
PZ6,RIVPOSEN,2,60
PZ6,PZ2,2,60
PZ6,PZ3,2,60
PZ6,PZ4,2,60
PZ6,PZ5,2,60
PZ6,PZ6,2,60
PZ6,PZ7,2,60
PZ6,PZ8,2,60
PZ6,PZ9,2,60
PZ6,PZ10,2,60
PZ6,BOA,2,60
PZ6,PZWALLS,2,60
PZ6,PZWALLN,2,60
PZ7,PZ1,2,60
PZ7,RIVPOSEN,2,60
PZ7,PZ2,2,60
PZ7,PZ3,2,60
PZ7,PZ4,2,60
PZ7,PZ5,2,60
PZ7,PZ6,2,60
PZ7,PZ7,2,60
PZ7,PZ8,2,60
PZ7,PZ9,2,60
PZ7,PZ10,2,60
PZ7,BOA,2,60
PZ7,PZWALLS,2,60
PZ7,PZWALLN,2,60
PZ8,PZ1,2,60
PZ8,RIVPOSEN,2,60
PZ8,PZ2,2,60
PZ8,PZ3,2,60
PZ8,PZ4,2,60
PZ8,PZ5,2,60
PZ8,PZ6,2,60
PZ8,PZ7,2,60
PZ8,PZ8,2,60
PZ8,PZ9,2,60
PZ8,PZ10,2,60
PZ8,BOA,2,60
PZ8,PZWALLS,2,60
PZ8,PZWALLN,2,60
PZ9,PZ1,2,60
PZ9,RIVPOSEN,2,60
PZ9,PZ2,2,60
PZ9,PZ3,2,60
PZ9,PZ4,2,60
PZ9,PZ5,2,60
PZ9,PZ6,2,60
PZ9,PZ7,2,60
PZ9,PZ8,2,60
PZ9,PZ9,2,60
PZ9,PZ10,2,60
PZ9,BOA,2,60
PZ9,PZWALLS,2,60
PZ9,PZWALLN,2,60
PZ10,PZ1,2,60
PZ10,RIVPOSEN,2,60
PZ10,PZ2,2,60
PZ10,PZ3,2,60
PZ10,PZ4,2,60
PZ10,PZ5,2,60
PZ10,PZ6,2,60
PZ10,PZ7,2,60
PZ10,PZ8,2,60
PZ10,PZ9,2,60
PZ10,PZ10,2,60
PZ10,BOA,2,60
PZ10,PZWALLS,2,60
PZ10,PZWALLN,2,60
BOA,PZ1,2,60
BOA,RIVPOSEN,2,60
BOA,PZ2,2,60
BOA,PZ3,2,60
BOA,PZ4,2,60
BOA,PZ5,2,60
